shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
0703-2748,J070324.47-274803.4,14.5,L4.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,113.0,DONE,L4,37.4 pc,34.5 pc,07:03:24.48,-27:48:03.5,J070324.47-274803.4,105.8519853,-27.8009629,,,,,,,,13.482,0.013,13.305,0.012,17.796,0.022,15.593,0.009,14.674,0.033,14.092,0.009,"VHS, 2MASS (H), PS1",32.848,1.573,GaiaDR3,-81.8,1.2,389.7,1.5,GaiaDR3,398.1,57.5,15.6,L4,,180402.0,ArcoIRIS,Faherty,"telmahsel, Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,14.0,,,
0705-1722,J070533.77-172249.4,23.0,T3,1,d,NewDisc,,,,k,,,EastonH,EastonH,2097.0,DONE,T3,31.4 pc,37.8 pc,07:05:33.77,-17:22:49.4,J070533.77-172249.4,106.3907214,-17.3803994,,,,,,,,15.759,0.023,15.118,0.031,,,16.93,0.012,16.475,0.014,16.436,0.028,UKIDSS GPS,,,,20.7,6.0,-98.4,6.0,UKIDSS GPS,100.5,18.0,20.4,T3,,220108.0,SpeX Prism,Faherty & Calamari,"Dan Caselden, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,23.0,,,
0708-3514,J070853.18-351415.4,25.0,T5,1,d,NewSpec,K24,,,k,,,JDK23,EastonH,609.0,DONE,T4.5,23.7 pc,27.1 pc,07:08:53.18,-35:14:15.5,J070853.18-351415.4,107.221587,-35.2376282,,,,,,,,16.136,0.028,14.624,0.019,,,16.303,0.025,,,16.887,0.054,VHS,,,,3.7,13.7,-102.9,12.9,unTimely (Adam),103.0,13.2,24.4,T4.5,,230402.0,ArcoIRIS,Schneider,"wpendrill, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171221.0,24.5,,,
0716+5030,J071655.72+503042.7,19.5,L9.5,1,d,NewDisc,,,,k,,,EastonH,EastonH,377.0,DONE,L9.5,32.0 pc,29.7 pc,07:16:55.72, 50:30:42.7,J071655.72+503042.7,109.2321665,50.5118643,,,,,,,,14.821,0.017,14.109,0.015,19.559,0.034,17.24,0.035,16.432,0.021,15.708,0.205,"UHS DR3, 2MASS reject (K)",,,,-11.8,3.5,-127.6,3.5,UHS DR3,128.2,18.1,19.6,L9.5,,201222.0,SpeX Prism,"Faherty, Calamari","stevnbak, Arttu Sainio, Sam Goodman, MartinKb, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,19.5,,,Previously a YMG candidate but not anymore.
0723-3309,J072352.60-330943.1,14.5,L4.5,1,d,NewSpec,Schneider17,,,k,r,"new 2019 spec, same spectral type. value added!","ACS17, Azul",ACS17,897.0,DONE,L4,36.0 pc,25.6 pc,07:23:52.61,-33:09:43.1,J072352.60-330943.1,110.9691936,-33.1619779,,,,,,,,13.033,0.012,12.654,0.009,,,15.509,0.008,14.471,0.043,13.72,0.007,"VHS, 2MASS (H)",30.835,1.969,GaiaDR3,-39.4,1.3,97.5,1.5,GaiaDR3,105.1,16.2,11.0,L4,,190315.0,SpeX Prism,Faherty,"stevnbak, Melina ThÈvenot, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171221.0,14.0,,,SpT based on Gaia parallax
0724+4307,J072418.16+430717.3,26.0,T6,1,d,maintain,,,,m,r,"same 2019 spec, no issue. keep for color",JDK23,JDK23,117.0,DONE,T6,23.5 pc,26.1 pc,07:24:18.17, 43:07:17.4,J072418.16+430717.3,111.0756987,43.1214909,,,,,,,,16.734,0.044,14.896,0.025,19.444,0.04,16.746,0.016,,,,,"UHS DR3, PS1",,,,63.6,22.7,-165.8,21.4,unTimely (Adam),177.6,22.0,24.9,T6,,190214.0,Keck NIRES,Burgasser et al.,"karmeliet, touches, NibiruX, Karl Selg-Mann, Austin Rothermich, Arttu Sainio, Sam Goodman, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,26.0,,,
0727-7633,J072720.65-763349.9,28.0,T8,1,d,NewSpec,,,,k,,,JDK23,EastonH,2116.0,DONE,T8,13.0 pc,18.3 pc,07:27:20.66,-76:33:50.0,J072720.65-763349.9,111.8360724,-76.5638856,,,,,,,,17.284,0.044,14.889,0.017,,,17.312,0.03,,,17.372,0.158,VHS,,,,14.6,15.5,-135.4,16.0,unTimely (Adam),136.2,11.8,26.4,T8,,230203.0,ArcoIRIS,Schneider,"Dan Caselden, wpendrill, Arttu Sainio, MartinKb, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,28.0,,,
0734-4330,J073408.83-433023.2,17.0,L7,1,d,maintain,care w/d/sdL7*8,,,k,r,"same 2020 spec, but labeled as L7 blue. can update with SD calssification",JDK21,JDK21,898.0,DONE,L7,18.2 pc,19.1 pc,07:34:08.83,-43:30:23.2,J073408.83-433023.2,113.536803,-43.5064522,,,,,,,,13.06,0.013,12.654,0.008,,,15.399,0.006,14.585,0.054,13.942,0.006,"VHS, 2MASS (H)",48.602,0.685,GaiaDR3,-37.7,0.8,148.0,0.9,GaiaDR3,152.8,14.9,16.5,L7,blue,200213.0,FIRE Prism,Schneider,"Melina ThÈvenot, Karl Selg-Mann, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,25.3,99.4,CARN,CARN,180412.0,17.0,,YMG,SpT based on Gaia parallax
0737-2526,J073748.86-252613.0,13.0,L3,1,d,maintain,,,,m,r,"same 2019 spec, no issue. keep for color","JDK23, Azul",JDK23,900.0,DONE,L3,42.4 pc,27.4 pc,07:37:48.87,-25:26:13.1,J073748.86-252613.0,114.4536055,-25.4369634,,,,,,,,12.868,0.013,12.641,0.01,17.828,0.029,15.515,0.088,14.498,0.075,13.817,0.07,"2MASS, PS1",32.567,1.152,GaiaDR3,-31.6,0.8,-94.4,1.1,GaiaDR3,99.5,14.5,16.9,L3,sl red,190123.0,SpeX Prism,Jackie and Eileen,Melina ThÈvenot,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,13.0,,,Previously a YMG candidate but not anymore.
0738+0835,J073816.94+083512.7,18.0,L8,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,2122.0,DONE,L7,32.8 pc,30.5 pc,07:38:16.94, 08:35:12.8,J073816.94+083512.7,114.5705932,8.5868883,,,,,,,,14.089,0.015,13.67,0.014,,,16.677,0.015,15.691,0.015,14.892,0.015,UHS DR3,,,,-106.4,1.8,-42.7,1.8,UHS DR3,114.7,16.6,16.8,L7,,240203.0,SpeX Prism,"Rothermich, Suarez","Dan Caselden, Sam Goodman, Arttu Sainio, wpendrill",SIMBAD,VizieR,FC,GSA,wiseview,OK,30.5,99.9,OCTN,OCTN,201027.0,17.0,,YMG,
