shortname,Jname,FINALNUM,FINAL,Spt_unc,TAGS,Code,Comment,USEVERSION,USECOLOR,Keep/Skip/maintain,extra1,extra2,Disc,Spec,ID,Priority,Type,Dist_J,Dist_W2,RA SXG,DE SXG,Jdesignation,catWISE RA,catWISE Dec,i,ei,z,ez,y,ey,opt ref,W1,eW1,W2,eW2,Y,eY,J,eJ,H,eH,K,eK,NIR ref,plx,eplx,plx_ref,PMRA,ePMRA,PMDE,ePMDE,PM_ref,PMTot,Vtan,Phototype,Spectral Type,SpT_Comments,Spectrum Date,Spectrum Instrument,Spectrum Observers,Submitted Name,SIMBAD,Vizier,IRSA_Finder,GSA,wiseview,BΣ_distance_Checkup,BΣ_distance,BΣ_PROB,BΣ_YMGs,BΣ_Hyp,Date Added,NumType,In BASS UltraCool,Flags,Notes
0800-3530,J080015.50-353002.4,15.0,L5,1,d,NewDisc,,,,k,,,EastonH,EastonH,1097.0,DONE,L4.5,47.3 pc,40.8 pc,08:00:15.51,-35:30:02.4,J080015.50-353002.4,120.0646107,-35.5006758,,,,,,,,14.058,0.014,13.757,0.014,,,16.316,0.097,15.357,0.088,14.872,0.136,2MASS,,,,-100.8,3.4,22.3,3.2,unTimely (Adam),103.2,19.9,16.6,L4.5,,220317.0,SpeX Prism,"Faherty, Hamlet, Caselden				",Vidar87,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,14.5,,,
0809-3720,J080940.43-372003.7,15.0,L5,1,d,maintain,,,,m,r,"same 2019 spec, no issue. keep for color",JDK23,JDK23,620.0,DONE,L5.5,23.7 pc,23.9 pc,08:09:40.44,-37:20:03.8,J080940.43-372003.7,122.4184885,-37.3343794,,,,,,,,13.069,0.014,12.804,0.01,,,15.29,0.048,14.225,0.033,13.751,0.048,2MASS,47.34,0.753,GaiaDR3,-151.1,0.7,-106.8,0.8,GaiaDR3,185.0,18.5,15.8,L5.5,sl blue,190316.0,SpeX Prism,Faherty,"Melina ThÈvenot, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,15.5,,,Previously a YMG candidate but not anymore.
0809+7417B,J080912.95+741704.3,13.0,L3,1,d,NewSpec,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0818-7605,J081826.43-760520.6,19.0,L9,1,d,NewDisc,double check T0,,,k,,,EastonH,EastonH,124.0,DONE,T0,29.0 pc,30.2 pc,08:18:26.43,-76:05:20.6,J081826.43-760520.6,124.6101344,-76.0890656,,,,,,,,14.642,0.013,14.225,0.013,,,17.043,0.026,15.975,0.171,15.531,0.027,"VHS, 2MASS reject (H)",,,,44.7,3.2,102.0,3.4,unTimely (Adam),111.3,15.9,18.2,T0,,180402.0,ArcoIRIS,Faherty,"telmahsel, Sam Goodman, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180410.0,20.0,,,
0826-6012,J082624.01-601203.9,18.0,L8,1,d,NewSpec,agree w/pub,,,k,r,new 2018 spec agrees with 2016 spec. value added,ACS17,ACS17,126.0,DONE,L7,36.9 pc,38.2 pc,08:26:24.02,-60:12:04.0,J082624.01-601203.9,126.6000706,-60.2011069,,,,,,,,14.453,0.014,14.156,0.012,,,16.93,0.024,16.133,0.205,15.241,0.025,"VHS, 2MASS (H)",,,,-150.7,3.6,-235.6,3.5,unTimely (Adam),279.7,50.6,17.0,L7,,180402.0,ArcoIRIS,Faherty,telmahsel,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,17.0,,,
0828-0748,J082825.64-074828.7,24.0,T4,1,d,NewDisc,,,,k,,,EastonH,EastonH,127.0,DONE,T4,24.4 pc,28.7 pc,08:28:25.64,-07:48:28.7,J082825.64-074828.7,127.1068409,-7.8079761,,,,,,,,16.057,0.027,14.66,0.021,18.991,0.044,16.332,0.013,16.199,0.178,16.219,0.052,"VHS, 2MASS (H), PS1",,,,-49.9,11.1,61.8,11.2,PS1 (Adam),79.4,10.8,24.2,T4,,220118.0,SpeX Prism,Faherty & Calamari,"karmeliet, stevnbak, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,24.0,,,
0843+4640,J084315.59+464031.1,11.5,L1.5,1,b,NewDisc,check binary indx,,,k,,,EastonH,EastonH,623.0,DONE,L2,54.6 pc,50.6 pc,08:43:15.60, 46:40:31.1,J084315.59+464031.1,130.8149802,46.675319,,,,,,,,14.145,0.015,13.851,0.014,17.879,0.021,15.842,0.01,15.209,0.011,14.666,0.014,UHS DR3,,,,-91.7,2.7,-114.4,2.7,UHS DR3,146.7,35.2,16.3,L2,,240216.0,SpeX Prism,Rothermich,"Sam Goodman, al2980",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,12.0,,,
0844-3629,J084432.31-362932.0,11.0,L1beta,1,y,NewDisc,,,,k,,,EastonH,EastonH,624.0,DONE,L1,57.0 pc,51.8 pc,08:44:32.31,-36:29:32.1,J084432.31-362932.0,131.1346394,-36.4922386,,,,,,,,13.948,0.015,13.795,0.015,,,15.797,0.078,14.85,0.1,13.997,0.0,2MASS,18.626,0.797,GaiaDR3,-133.1,0.6,-75.5,0.9,GaiaDR3,153.0,38.9,11.0,L1,beta,190316.0,SpeX Prism,Faherty,"Hugo A. Durantini Luca (Shigeru), Melina ThÈvenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,11.0,,,SpT based on Gaia parallax
0857+4117,J085749.45+411700.0,19.0,L9,1,b,NewDisc,check binary indx,,,k,,,EastonH,EastonH,365.0,DONE,L6,50.7 pc,60.2 pc,08:57:49.46, 41:17:00.0,J085749.45+411700.0,134.4560792,41.2833415,,,,,,,,15.227,0.02,14.92,0.03,19.303,0.027,17.179,0.025,16.515,0.024,16.0,0.033,UHS DR3,,,,283.1,3.5,-341.5,3.4,UHS (Adam),443.6,126.6,16.2,L6,d/sd?,190122.0,SpeX Prism,Jackie,"Dan+Guillaume, MartinKb, Karl Selg-Mann",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180410.0,16.0,,,
0904+6106,J090451.43+610108.2,12.0,L2,1,d,NewSpec,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0917-6344,J091735.38-634451.2,17.0,L7,1,d,maintain,,,,m,r,same spec in k21. no issue. keep for colors,JDK21,JDK21,629.0,DONE,L7,23.6 pc,17.9 pc,09:17:35.39,-63:44:51.2,J091735.38-634451.2,139.3974514,-63.7475564,,,,,,,,12.937,0.024,12.508,0.016,,,15.961,0.009,,,14.02,0.007,VHS,,,,-119.7,3.2,65.0,3.5,NSC DR2,136.3,11.6,16.7,L7,,200214.0,FIRE Prism,Schneider,"stevnbak, Sam Goodman, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,OK,28.0,96.6,BPMG(84);ABDMG(15),BPMG,,17.0,,YMG,
0919-1629,J091918.47-162951.0,14.0,L3b-L6b,3,y,NewDisc,betwen templ,,,k,,,"EastonH, Azul",EastonH,1103.0,DONE,L4,67.4 pc,54.3 pc,09:19:18.47,-16:29:51.1,J091918.47-162951.0,139.8269612,-16.497527,,,,,,,,14.615,0.017,14.286,0.018,19.188,0.034,16.87,0.018,15.976,0.234,15.223,0.017,"VHS, 2MASS (H), PS1",,,,-53.2,8.9,-14.9,8.9,PS1 (Adam),55.3,14.2,15.3,L4,,201222.0,SpeX Prism,"Faherty, Calamari","wpendrill, Melina T",SIMBAD,VizieR,FC,GSA,wiseview,OK,48.2,99.4,ARG,ARG,190106.0,14.0,,YMG,
0930-7431,J093035.01-743148.6,,T7,1,d,maintain,reclass to sd,,,k,r,"same spec, reclass to sdT7.5 maybe?  original class predates late T sd standards",RG12,JDK23,140.0,DONE,T7,21.3 pc,24.7 pc,09:30:35.02,-74:31:48.6,J093035.01-743148.6,142.645904,-74.530174,,,,,,,,17.098,0.038,15.114,0.021,,,17.25,0.037,,,,,VHS,,,,17.3,17.4,-143.3,18.2,unTimely (Adam),144.4,16.9,25.8,T7,,180402.0,ArcoIRIS,Faherty,"touches, stevnbak, planetsam",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,27.0,,,
0931+2325,J093111.01+232501.2,27.0,T7,1,d,NewSpec,,,,k,,,AM20a,EastonH,1172.0,DONE,T7,38.5 pc,32.5 pc,09:31:11.01, 23:25:01.3,J093111.01+232501.2,142.7958947,23.4170218,,,,,,,,18.659,0.238,15.706,0.056,,,18.534,0.102,19.239,0.316,,,UHS DR3,,,,-288.0,17.7,-442.4,17.7,UHS (Adam),527.9,81.3,27.6,T7,slight K supporession,220123.0,Keck NIRES,Burgasser et al. ,"zbyszek_w, Arttu Sainio, Tom Bickle, Melina Thevenot",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,27.0,,,catWISE Spitzer. Previously a YMG candidate but not anymore.
0932+4807,J093256.07+480755.6,19.0,L9,1,d,NewDisc,,,,k,,,EastonH,EastonH,632.0,DONE,T0,56.0 pc,31.9 pc,09:32:56.08, 48:07:55.6,J093256.07+480755.6,143.2336559,48.1321139,,,,,,,,15.097,0.018,14.347,0.017,,,18.472,0.074,17.135,0.043,16.311,0.035,UHS DR3,,,,-183.7,3.8,-78.2,3.8,UHS DR3,199.7,30.2,16.7,T0,young,231227.0,Keck NIRES,Burgasser,"StarBoy, Arttu Sainio, Sam Goodman, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,20.0,,,
0942-2551,J094232.37-255137.5,11.0,L1,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,366.0,DONE,L1,56.0 pc,55.2 pc,09:42:32.38,-25:51:37.5,J094232.37-255137.5,145.6349124,-25.8604288,,,,,,,,14.148,0.014,13.931,0.014,17.865,0.01,15.757,0.007,15.001,0.086,14.472,0.009,"VHS, 2MASS (H), PS1",20.006,1.151,GaiaDR3,-102.0,1.0,18.7,1.6,GaiaDR3,103.7,24.6,13.0,L1,,190316.0,SpeX Prism,Faherty,"StarBoy, Melina ThÈvenot, wpendrill, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,OK,44.3,99.1,CARN(93);ARG(6),CARN,180629.0,11.0,,YMG,SpT based on Gaia parallax
0943+3356,J094352.22+335639.1,12.0,L2,1,d,maintain,,,,m,r,"same2021 spec, no issue.  keep for color",AR24,AR24,2211.0,DONE,L2,104.0 pc,76.0 pc,09:43:52.23, 33:56:39.2,J094352.22+335639.1,145.9676104,33.9442094,,,,,,,,15.003,0.018,14.735,0.025,,,17.241,0.028,16.25,0.019,15.451,0.021,UHS DR3,15.107,0.021,GaiaDR3,-85.1,2.3,8.4,2.3,UHS DR3,85.5,26.8,14.0,L2,,210104.0,SpeX Prism,Faherty,Dan Caselden,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,12.0,,COMOVER,"Co-moving with mid-M at 67 pc (sep=27""); Gaia data from companion (145.96011966100        +33.94864598023)"
0958-1259,J095831.24-125934.7,14.0,L4,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,637.0,DONE,L4,52.7 pc,43.8 pc,09:58:31.24,-12:59:34.8,J095831.24-125934.7,149.6301858,-12.9929981,,,,,,,,14.203,0.014,13.821,0.015,17.691,0.028,16.339,0.012,15.622,0.046,14.935,0.018,VHS,,,,-108.1,4.0,8.3,3.8,unTimely (Adam),108.4,22.5,16.7,L4,,220224.0,SpeX Prism,Faherty & Hamlet,"Sam Goodman, Melina T, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,OK,40.1,99.5,ARG,ARG,,14.0,,YMG,
0958+5403,J095855.00+540305.4,26.0,T6,1,d,NewSpec,,,,k,,,SK24,EastonH,146.0,DONE,T5,32.5 pc,34.8 pc,09:58:55.00, 54:03:05.5,J095855.00+540305.4,149.7291715,54.0515265,,,,,,,,16.996,0.042,15.269,0.03,19.866,0.056,17.072,0.023,,,,,"UHS DR3, PS1",,,,-545.6,29.3,-373.7,27.6,unTimely (Adam),661.2,109.0,24.8,T5,,220118.0,SpeX Prism,Faherty & Calamari,"touches, stevnbak, NicholastheElder, Arttu Sainio, Sam Goodman, Tom Bickle, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,,25.0,,COLOR_OUTLIER,Also a COLOR_OUTLIER!
1004-1338,J100406.74-133829.3,9.5,sdM9.5,1,sd,NewDisc,,,,k,,,EastonH,EastonH,592.0,DONE,M9.5,70.8 pc,94.2 pc,10:04:06.75,-13:38:29.4,J100406.74-133829.3,151.0281098,-13.6414911,,,,,,,,15.017,0.018,14.848,0.025,16.484,0.009,15.833,0.007,15.695,0.013,15.63,0.024,VHS,12.035,0.399,GaiaDR3,215.3,0.4,-340.2,0.4,GaiaDR3,402.6,158.6,12.2,M9.5,sd,240502.0,SpeX Prism,"Rothermich, Gramaize, Suarez","StarBoy, Peter Jalowiczor, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,9.5,,,"in Late-Ms, SpT based on Gaia parallax"
1005-6912,J100521.10-691226.8,23.0,T3,1,d,NewSpec,,,,k,,,JDK23,EastonH,3150.0,DONE,T3,16.5 pc,19.0 pc,10:05:21.11,-69:12:26.9,J100521.10-691226.8,151.3379429,-69.2074626,,,,,,,,14.733,0.017,13.626,0.012,,,15.528,0.007,15.093,0.054,15.028,0.019,"VHS, 2MASS (H)",,,,-10.0,3.5,-65.6,3.5,unTimely (Adam),66.3,6.0,22.5,T3,,230226.0,ArcoIRIS,Schneider,"Arttu Sainio, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,210312.0,23.0,,,
1015-1115,J101523.92-111539.6,15.0,L5beta,1,y,maintain,L5g in roth,,,m,r,"same spec as ar24, no issue. keep for color. revise sptype to match ar24",AR24,AR24,2237.0,DONE,L4,55.3 pc,37.7 pc,10:15:23.93,-11:15:39.6,J101523.92-111539.6,153.849691,-11.2610035,,,,,,,,13.86,0.015,13.494,0.013,17.906,0.023,16.444,0.011,15.428,0.008,14.642,0.01,VHS,23.952,0.034,GaiaDR3,-82.7,5.2,-23.8,5.2,PS1 (Adam),86.1,17.0,16.1,L4,red,201223.0,SpeX Prism,"Faherty, Rothermich","Dan Caselden, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,14.0,,COMOVER,"Co-moving with a pair of mid-Ms at 42 pc?; sep=139""); Gaia data from brighter companion (153.88774967970        -11.25059428704). Initially appeared as YMG candidate but co-mover rejects this possibility."
1020-3236,J102045.73-323655.2,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,1109.0,DONE,L3,92.4 pc,67.2 pc,10:20:45.74,-32:36:55.3,J102045.73-323655.2,155.1905753,-32.6153609,,,,,,,,14.886,0.016,14.59,0.021,,,17.207,0.019,16.011,0.158,15.44,0.019,"VHS, 2MASS (H)",,,,-155.0,4.2,34.9,4.0,NSC (Adam),158.9,50.6,13.5,L3,low-g,240219.0,SpeX Prism,Rothermich,"Sam Goodman, al2980, Austin Rothermich",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,13.0,,COMOVER,"possibly comoving with Gaia source (155.14985701044        -32.71644276740), sep = 385"", distance = 48 pc"
1023+2215,J102332.99+221527.6,29.0,T9.0,1,d,NewSpec,check sd ind. phottype T7,,,k,,,JDK23,EastonH,2245.0,DONE,T7,38.5 pc,26.0 pc,10:23:33.00, 22:15:27.6,J102332.99+221527.6,155.8874916,22.2576709,,,,,,,,16.696,0.041,15.225,0.036,,,18.533,0.073,,,,,UHS DR3,,,,-208.4,33.1,-248.5,31.3,unTimely (Adam),324.3,40.0,28.0,T7,K suppressed?,220123.0,Keck NIRES,Burgasser et al.,"Dan Caselden, MelinaT, Sam Goodman, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,27.0,,,blended -- likely later type. Previously a YMG candidate but not anymore.
1027-0618,J102738.72-061825.6,14.0,L4,1,d,NewDisc,,,,k,,,"EastonH, Azul",EastonH,2249.0,DONE,L5,68.7 pc,64.9 pc,10:27:38.73,-06:18:25.6,J102738.72-061825.6,156.9113679,-6.3071177,,,,,,,,15.109,0.018,14.867,0.027,18.598,0.19,17.359,0.162,16.539,0.072,15.507,0.192,"VHS, 2MASS (K)",,,,-49.1,2.6,68.7,2.7,VHS (Adam),84.4,26.0,15.7,L5,,220224.0,SpeX Prism,Faherty & Hamlet,"Dan Caselden, Les Hamlet",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,15.0,,,Previously a YMG candidate but not anymore.
1031-7323,J103112.51-732309.3,9.0,M9,1,d,NewSpec,,,,k,,,"JDK23, Azul",EastonH,2252.0,DONE,M9,21.1 pc,18.7 pc,10:31:12.51,-73:23:09.3,J103112.51-732309.3,157.8021438,-73.3859174,,,,,,,,11.461,0.012,11.188,0.009,,,12.816,0.001,,,12.032,0.002,VHS,53.955,0.1,GaiaDR3,39.2,0.1,-59.5,0.1,GaiaDR3,71.3,6.3,10.1,M9,,230210.0,ArcoIRIS,Schneider,"Dan Caselden, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,9.0,,,
1031+1237,J103131.46+123736.4,15.0,L5,1,d,NewSpec,,,,k,,,AR24,EastonH,3585.0,DONE,L1,94.0 pc,75.5 pc,10:31:31.47, 12:37:36.5,J103131.46+123736.4,157.8811199,12.6267923,,,,,,,,14.893,0.018,14.613,0.023,18.169,0.025,16.883,0.016,16.028,0.022,15.316,0.016,UKIDSS LAS,,,,-86.2,6.2,13.2,6.2,PS1 (Adam),87.2,31.2,12.7,L1,beta,240502.0,SpeX Prism,"Rothermich, Gramaize, Suarez",Sam Goodman,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,220422.0,11.0,,,
1044+3029,J104405.26+302936.8,20.0,T0,1,d,NewDisc,wonky K band?,,,k,,,EastonH,EastonH,512.0,DONE,T0.5,33.4 pc,40.3 pc,10:44:05.26, 30:29:36.8,J104405.26+302936.8,161.0219372,30.4935655,,,,,,,,15.458,0.02,14.928,0.026,19.627,0.043,17.337,0.033,16.097,0.19,16.136,0.029,"UHS DR3, 2MASS reject (H), PS1",,,,-325.7,4.2,-80.5,3.9,UHS (Adam),335.5,64.1,17.2,T0.5,,190122.0,SpeX Prism,Jackie,"Dan+Guillaume, Melina T, Sam Goodman",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,20.5,,,
1055+5443,J105512.11+544328.3,30.0,Y0,1,d,maintain,,,,m,r,"single obj paper, keep for color","RG12, Azul",GR23,152.0,DONE,Y0,,8.4 pc,10:55:12.12, 54:43:28.4,J105512.11+544328.3,163.8004937,54.7245505,,,,,,,,17.332,0.082,14.371,0.018,,,19.446,0.0,,,,,UHS,145.0,14.7,Kirk21,-1518.7,2.1,-222.7,2.0,Kirk21,1534.9,50.2,29.0,Y0,,210224.0,Keck NIRES,Burgasser,"touches, planetsam",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,30.0,,,SpT estimate does not match prelim parallax from Davy.  Changing from T7.5 to T9 to up priority (Adam)
1057-0525,J105741.99-052532.2,12.0,L2,2,b,NewDisc,binary?,,,k,,,EastonH,EastonH,2282.0,DONE,L2,87.5 pc,72.7 pc,10:57:41.99,-05:25:32.2,J105741.99-052532.2,164.4249611,-5.4256191,,,,,,,,14.893,0.017,14.637,0.023,,,16.867,0.148,15.949,0.144,15.519,0.193,2MASS,,,,-146.0,4.0,13.6,4.2,NSC DR2,146.7,50.5,15.3,L2,,220310.0,SpeX Prism,"Calamari, Hamlet",Dan Caselden,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,12.0,,,Previously a YMG candidate but not anymore.
1102-1716,J110225.84-171653.1,8.0,M8,1,d,NewDisc,,,,k,,,EastonH,EastonH,515.0,DONE,M8,222.9 pc,117.0 pc,11:02:25.84,-17:16:53.1,J110225.84-171653.1,165.6076833,-17.2814209,,,,,,,,14.997,0.017,14.648,0.022,17.247,0.013,16.357,0.009,15.806,0.157,15.315,0.017,"VHS, 2MASS (H)",,,,-170.1,2.8,114.7,2.3,NSC DR2,205.1,113.8,15.8,M8,,240502.0,SpeX Prism,"Rothermich, Gramaize, Suarez","Dan+Guillaume, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,8.0,,,
1104+6513,J110428.22+651320.0,13.0,L3,1,d,NewSpec,REVIEW-L8 on goodstuff,,,k,,,AdamS,,2293.0,DONE,L8,,50.3 pc,11:04:28.22, 65:13:20.0,J110428.22+651320.0,166.1175867,65.2222266,,,20.924,0.172,19.656,0.14,PS1 DR2,15.273,0.017,14.968,0.024,,,,,,,15.652,0.232,2MASS reject,,,,-94.4,8.4,-40.3,8.0,unTimely (Adam),102.6,24.5,16.1,L8,"little red, not young?",240130.0,Keck NIRES,"Burgasser, Softich","Dan Caselden, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,18.0,,,
1107+3517,J110742.67+351754.3,19.0,sdL9,2,sd,NewDisc,skip colors,,,k,,,EastonH,EastonH,516.0,DONE,late L,,,11:07:42.68, 35:17:54.4,J110742.67+351754.3,166.927816,35.2984375,,,,,,,,15.25,0.018,14.954,0.028,19.29,0.138,16.929,0.02,16.259,0.193,15.819,0.019,"UHS DR3, 2MASS reject (H), PS1",,,,-330.1,2.4,-220.4,2.6,UHS (Adam),396.9,,13.8,late L,Low SNR,180616.0,SpeX Prism,Jonathan;Michaela,"Dan+Guillaume, Arttu Sainio, Frank Kiwy",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,,,,
1109-0956,J110920.69-095636.9,16.0,L6beta,2,y,NewDisc,need later temp,,,k,,,EastonH,EastonH,1112.0,DONE,L5,66.3 pc,44.5 pc,11:09:20.70,-09:56:36.9,J110920.69-095636.9,167.3362375,-9.9435894,,,,,,,,14.492,0.015,14.047,0.015,18.839,0.118,17.28,0.037,16.356,0.036,15.461,0.028,VHS,,,,-147.6,5.8,-49.7,5.5,unTimely (Adam),155.7,32.8,18.4,L5,red,210104.0,SpeX Prism,Faherty,"Melina_T, Sam Goodman, Arttu Sainio, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,190106.0,15.0,,,"in ESO Archive; comover in Gaia? (167.32592941438        -09.97413494433) -- proper motion looks similar in wiseview, but parallax is way off of photometric distance"
1115+1745,J111521.15+174521.2,19.0,L9,1,d,NewDisc,,,,k,,,EastonH,EastonH,2300.0,DONE,L9.5,33.5 pc,57.7 pc,11:15:21.16, 17:45:21.3,J111521.15+174521.2,168.8381631,17.7559096,,,,,,,,16.145,0.029,15.55,0.045,,,17.334,0.292,17.601,0.061,16.955,0.073,"UHS DR3, 2MASS reject (J)",,,,-135.8,14.2,-9.9,14.2,UHS DR3,136.2,37.3,21.7,L9.5,,240203.0,SpeX Prism,"Rothermich, Suarez","Dan Caselden, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,19.5,,,
1119-1241,J111921.38-124128.5,25.0,T5,1,d,NewDisc,,,,k,,,EastonH,EastonH,160.0,DONE,T5.5,29.5 pc,30.1 pc,11:19:21.39,-12:41:28.5,J111921.38-124128.5,169.8391086,-12.691261,,,,,,,,17.007,0.058,15.068,0.032,18.116,0.04,17.014,0.021,17.442,0.061,17.087,0.114,VHS,,,,46.3,34.1,-21.9,32.4,unTimely (Adam),51.2,7.3,24.9,T5.5,,190123.0,SpeX Prism,Jackie and Eileen,stevnbak,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,171228.0,25.5,,,
1138-0354,J113851.74-035442.6,12.0,L2beta,1,y,NewDisc,grav indx?,,,k,,,EastonH,EastonH,4092.0,DONE,L2,69.6 pc,56.1 pc,11:38:51.74,-03:54:42.7,J113851.74-035442.6,174.7155853,-3.9118478,,,,,,,,14.366,0.016,14.076,0.018,17.659,0.011,16.37,0.005,15.55,0.005,14.913,0.006,VIKING,,,,-75.5,1.0,11.6,1.0,VIKING+VHS (Adam),76.4,20.3,14.2,L2,,240216.0,SpeX Prism,Rothermich,"Tom Bickle, MartinKb",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,231121.0,12.0,,,"possible comover in Gaia (3792148125969188096; sep=77"")"
1140-2757,J114036.56-275734.0,16.0,L6beta,2,y,NewDisc,need later temp. check idx,,,k,,,"EastonH, Azul",EastonH,2320.0,DONE,L8:,51.5 pc,42.4 pc,11:40:36.57,-27:57:34.1,J114036.56-275734.0,175.1523548,-27.9594671,,,,,,,,15.135,0.019,14.597,0.022,19.314,0.072,18.002,0.045,16.852,0.315,16.176,0.042,"VHS, 2MASS reject (H)",,,,-150.8,9.3,-26.8,8.8,unTimely (Adam),153.1,30.8,18.1,L8:,red,230630.0,FIRE Prism,"Jackie, Austin R.","Dan Caselden, Sam Goodman, Borvo",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,201027.0,18.0,,,
1142+4123,J114202.84+412337.5,16.0,L6gamma,1,y,NewSpec,,,,k,,,JG22,EastonH,168.0,DONE,L7,60.7 pc,35.4 pc,11:42:02.85, 41:23:37.6,J114202.84+412337.5,175.5118709,41.3937667,,,,,,,,14.611,0.015,13.992,0.015,20.401,0.004,18.011,0.055,16.711,0.024,15.638,0.022,UHS DR3,,,,-153.4,2.9,-70.8,2.9,UHS DR3,168.9,28.4,16.1,L7,red (not young?),240130.0,Keck NIRES,"Burgasser, Softich","touches, NibiruX, Sam Goodman, Arttu Sainio",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,17.0,,COLOR_OUTLIER,Candidate member of Rhea 468 (Gagne+2022)
1143+0613,J114340.42+061359.0,24.5,T4.5,1,d,NewSpec,,,,k,,,CC15,EastonH,521.0,DONE,T4.5,30.1 pc,30.8 pc,11:43:40.43, 06:13:59.1,J114340.42+061359.0,175.9184464,6.2330785,,,,,,,,16.43,0.037,14.902,0.031,17.928,0.021,16.824,0.012,16.804,0.034,16.97,0.067,UKIDSS LAS,,,,-62.1,9.0,17.8,9.0,UKIDSS LAS,64.6,9.4,25.0,T4.5,,220307.0,SpeX Prism,"Calamari, Hamlet",Dan+Guillaume,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180926.0,24.5,,,T dwarf candidate in Cadoso+2015; T4.5 phototype in Skrzypek 2016
1149+5318,J114935.53+531830.1,12.0,L2,1,d,NewDisc,,,,k,,,EastonH,EastonH,172.0,DONE,L3,88.6 pc,78.6 pc,11:49:35.54, 53:18:30.1,J114935.53+531830.1,177.3980691,53.3083635,,,,,,,,15.161,0.016,14.931,0.023,19.393,0.046,17.118,0.023,16.329,0.015,15.606,0.195,"UHS DR3, 2MASS reject (K), PS1",,,,-294.8,3.6,100.1,3.7,UHS (Adam),311.3,116.0,12.6,L3,,220324.0,SpeX Prism,Calamari,"touches, Tom Bickle",SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180629.0,13.0,,COLOR_OUTLIER,
1210+0333,J121019.23+033342.1,25.0,T5,1,d,NewSpec,,,,k,,,NS16,EastonH,529.0,DONE,T5.5,26.0 pc,27.0 pc,12:10:19.23, 03:33:42.1,J121019.23+033342.1,182.5801243,3.5616983,,,,,,,,16.635,0.041,14.832,0.028,17.783,0.014,16.741,0.007,16.88,0.018,16.927,0.032,VIKING,,,,24.5,3.0,72.0,3.0,VIKING+UKIDSS LAS (Adam),76.0,9.7,25.2,T5.5,,240502.0,SpeX Prism,"Rothermich, Gramaize, Suarez",Dan+Guillaume,SIMBAD,VizieR,FC,GSA,wiseview,,,,,,180412.0,25.5,,,in ESO archive; T5.5 phototype in Skrzypek 2016
